player_name,player_id,total_pitches,ba,slg,woba,obp,hrs,doubles,triples,hits,abs,Team,Pos,Age,G,R,RBI,SB,CS,BB,SO,SH,SF,HBP,OPS
Yandy Díaz,650490,2543,0.3,0.482,0.364,0.366,25,29,1,175,583,TB,1B,34,150,79,83,3,1,57,92,0,5,6,0.848
Bo Bichette,666182,2320,0.311,0.483,0.361,0.357,18,44,1,181,582,TOR,SS,27,139,78,94,4,3,40,91,0,3,3,0.84
Andy Pages,681624,2366,0.272,0.461,0.332,0.313,27,27,1,158,581,LAD,OF,24,156,74,86,14,7,29,135,0,6,8,0.774
CJ Abrams,682928,2324,0.257,0.433,0.324,0.315,19,35,5,149,580,WSH,SS,25,144,92,60,31,3,37,125,1,3,14,0.748
TJ Friedl,670770,2647,0.261,0.378,0.333,0.364,14,22,2,151,579,CIN,OF,30,152,82,53,12,3,81,115,4,5,16,0.742
Taylor Ward,621493,2791,0.228,0.475,0.339,0.317,36,31,2,132,579,LAA,OF,31,157,86,103,4,1,75,175,0,6,3,0.792
Juan Soto,665742,3015,0.263,0.525,0.39,0.396,43,20,1,152,577,NYM,OF,27,160,120,105,38,4,127,137,1,6,3,0.921
Gunnar Henderson,683002,2528,0.274,0.438,0.339,0.349,17,34,5,158,577,BAL,SS,24,154,85,68,30,5,62,137,0,5,7,0.787
Christian Yelich,592885,2620,0.264,0.452,0.343,0.343,29,21,0,151,573,MIL,DH,33,150,88,103,16,6,64,167,0,1,6,0.795
Seiya Suzuki,673548,2731,0.245,0.478,0.343,0.326,32,31,3,140,571,CHC,OF,31,151,75,103,5,2,71,164,0,8,1,0.804
J.P. Crawford,641487,2737,0.265,0.37,0.322,0.352,12,24,0,151,570,SEA,SS,30,157,69,58,8,1,74,122,6,1,3,0.722
Ian Happ,664023,2727,0.243,0.42,0.333,0.342,23,32,0,138,569,CHC,OF,31,150,87,79,6,3,87,151,0,5,2,0.762
Lawrence Butler,671732,2521,0.234,0.404,0.31,0.306,21,30,2,133,569,ATH,OF,25,152,83,63,22,7,59,179,2,0,0,0.71
William Contreras,661388,2572,0.26,0.399,0.332,0.355,17,28,0,147,566,MIL,C,27,150,89,76,6,4,84,120,0,6,3,0.754
Corbin Carroll,682998,2514,0.259,0.541,0.371,0.343,31,32,17,146,564,ARI,OF,25,143,107,84,32,6,67,153,0,4,7,0.884
Spencer Torkelson,679529,2657,0.24,0.456,0.339,0.333,31,27,1,135,563,DET,1B,26,155,82,78,2,1,72,169,0,5,9,0.789
Tyler Soderstrom,691016,2238,0.276,0.474,0.354,0.346,25,34,1,155,561,ATH,OF,24,158,75,93,8,3,55,141,0,2,6,0.82
Xavier Edwards,669364,2260,0.283,0.353,0.308,0.343,3,20,5,159,561,MIA,2B,26,139,75,43,27,7,49,88,3,3,3,0.696
Jung Hoo Lee,808982,2354,0.266,0.407,0.32,0.327,8,31,12,149,560,SF,OF,27,150,73,55,10,3,47,71,0,4,6,0.734
Freddie Freeman,518692,2407,0.295,0.502,0.37,0.367,24,39,2,164,556,LAD,1B,36,147,81,90,6,2,60,128,0,5,6,0.869
Jackson Chourio,694192,2114,0.27,0.463,0.328,0.308,21,35,4,148,549,MIL,OF,21,131,88,78,21,7,30,121,1,6,3,0.771
Nick Castellanos,592206,2168,0.25,0.4,0.3,0.294,17,27,2,137,547,PHI,OF,33,147,72,72,4,0,32,133,0,6,4,0.694
Ceddanne Rafaela,678882,2128,0.249,0.414,0.307,0.295,16,34,4,136,546,BOS,OF,25,156,84,63,20,5,28,117,3,2,8,0.709
Ernie Clement,676391,1875,0.277,0.398,0.308,0.313,9,35,2,151,545,TOR,3B,29,157,83,50,6,5,27,61,7,5,4,0.711
Otto Lopez,672640,2137,0.246,0.368,0.295,0.305,15,21,0,134,544,MIA,SS,27,143,66,77,15,6,44,82,0,3,3,0.673
Yainer Diaz,673237,1879,0.256,0.417,0.3,0.284,20,25,1,139,542,HOU,C,27,143,56,70,1,1,20,95,0,3,2,0.701
Aaron Judge,592450,2762,0.331,0.688,0.463,0.457,53,30,2,179,541,NYY,OF,33,152,137,114,12,5,124,160,0,7,7,1.145
Hunter Goodman,696100,2151,0.278,0.52,0.359,0.323,31,28,5,150,540,COL,C,26,144,73,91,1,2,33,152,0,2,4,0.843
Jordan Beck,687597,2337,0.258,0.416,0.319,0.317,16,27,5,139,539,COL,OF,24,148,62,53,19,8,43,174,0,1,4,0.733
Anthony Volpe,683011,2398,0.212,0.391,0.286,0.272,19,32,4,114,539,NYY,SS,24,153,65,72,18,8,43,150,3,7,4,0.663
Agustín Ramírez,682663,2132,0.231,0.413,0.302,0.287,21,33,1,124,537,MIA,C,24,136,72,67,16,3,36,113,0,4,8,0.7
Gleyber Torres,650402,2654,0.256,0.387,0.332,0.358,16,22,0,136,532,DET,2B,28,145,79,74,4,1,85,101,0,7,4,0.745
Sal Frelick,686217,2311,0.288,0.405,0.332,0.351,12,20,3,152,528,MIL,OF,25,142,76,63,19,6,47,80,3,5,7,0.756
Jo Adell,666176,2221,0.236,0.485,0.333,0.293,37,18,1,124,526,LAA,OF,26,152,63,98,5,1,33,151,0,1,10,0.778
Michael Busch,683737,2331,0.261,0.523,0.369,0.343,34,25,5,137,524,CHC,1B,28,155,78,90,4,0,56,139,0,2,10,0.866
Lenyn Sosa,672820,2056,0.264,0.434,0.313,0.293,22,20,1,137,518,CWS,1B,25,140,57,75,2,1,18,127,1,3,4,0.727
Teoscar Hernández,606192,2142,0.247,0.454,0.315,0.284,25,29,1,126,511,LAD,OF,33,134,65,89,5,2,26,134,0,5,3,0.738
Matt McLain,680574,2367,0.22,0.343,0.286,0.3,15,18,0,112,510,CIN,2B,26,147,73,50,18,2,55,167,3,4,5,0.643
Spencer Steer,668715,2316,0.238,0.411,0.316,0.312,21,21,2,121,509,CIN,1B,27,146,66,75,7,1,51,129,1,2,5,0.723
Lars Nootbaar,663457,2373,0.234,0.361,0.304,0.325,13,24,1,119,509,STL,OF,28,135,68,48,4,5,64,119,1,3,6,0.686
Adolis García,666969,2154,0.227,0.394,0.286,0.271,19,28,0,115,507,TEX,OF,32,135,58,75,13,4,28,135,0,7,5,0.665
Brandon Lowe,664040,2148,0.256,0.477,0.334,0.307,31,19,0,130,507,TB,2B,31,134,79,83,3,2,38,149,0,6,2,0.784
Miguel Vargas,678246,2326,0.234,0.401,0.314,0.316,16,32,2,118,504,CWS,3B,26,138,80,60,6,0,56,100,0,3,6,0.717
Trevor Larnach,663616,2197,0.25,0.404,0.317,0.323,17,24,1,126,503,MIN,OF,28,142,62,60,4,4,53,122,0,6,4,0.727
Brenton Doyle,686668,1959,0.233,0.376,0.282,0.274,15,23,2,117,502,COL,OF,27,138,57,57,18,2,30,138,2,4,0,0.65
J.T. Realmuto,592663,2201,0.257,0.384,0.307,0.315,12,26,1,129,502,PHI,C,34,134,57,52,8,2,35,129,0,3,9,0.699
Zach Neto,687263,2197,0.257,0.474,0.337,0.319,26,29,1,129,502,LAA,SS,24,128,82,62,26,9,33,149,2,3,14,0.793
Bryce Harper,547180,2195,0.261,0.487,0.361,0.357,27,32,0,131,501,PHI,1B,33,132,72,75,12,2,70,121,0,3,6,0.844
Luis Rengifo,650859,2011,0.238,0.335,0.275,0.287,9,16,3,119,501,LAA,3B,28,147,55,43,10,7,33,104,1,3,3,0.622
Kyle Tucker,663656,2335,0.266,0.464,0.363,0.377,22,25,4,133,500,CHC,OF,28,136,91,73,25,3,87,88,1,3,4,0.841
Lourdes Gurriel Jr.,666971,1998,0.248,0.418,0.307,0.295,19,24,2,124,500,ARI,OF,32,129,52,80,10,4,31,76,0,9,6,0.713
Bryson Stott,681082,2470,0.257,0.391,0.315,0.328,13,22,3,128,499,PHI,2B,28,147,66,66,24,5,54,91,2,4,1,0.719
George Springer,543807,2314,0.309,0.56,0.408,0.399,32,27,1,154,498,TOR,OF,36,140,106,84,18,1,69,111,0,4,8,0.959
Alec Burleson,676475,1935,0.29,0.459,0.346,0.343,18,26,2,144,497,STL,OF,27,139,54,69,5,1,39,79,1,4,3,0.802
Jonathan India,663697,2360,0.233,0.346,0.301,0.323,9,29,0,116,497,KC,2B,28,136,63,45,0,4,54,106,1,2,13,0.669
Josh Smith,669701,2295,0.251,0.366,0.311,0.335,10,23,2,124,495,TEX,3B,28,144,70,35,12,3,55,100,3,1,8,0.701
Trent Grisham,663757,2394,0.235,0.464,0.353,0.348,34,9,1,116,494,NYY,OF,29,143,87,74,3,2,82,137,0,1,4,0.812
Jeremy Peña,665161,1788,0.304,0.477,0.363,0.363,17,30,2,150,493,HOU,SS,28,125,68,62,20,2,35,93,1,2,12,0.84
Gavin Sheets,657757,2283,0.252,0.429,0.323,0.317,19,28,1,124,492,SD,OF,29,145,57,71,2,1,44,107,0,4,5,0.746
Masyn Winn,691026,2257,0.253,0.363,0.297,0.31,9,27,0,124,491,STL,SS,23,129,72,51,9,5,34,102,2,2,8,0.673
Xander Bogaerts,593428,2110,0.263,0.391,0.313,0.328,11,30,0,129,491,SD,SS,33,136,63,53,20,2,48,94,1,8,4,0.719
Willson Contreras,575929,2163,0.257,0.447,0.344,0.344,20,31,1,126,490,STL,1B,33,135,70,80,5,1,44,142,1,4,23,0.791
Paul Goldschmidt,502671,2109,0.274,0.403,0.316,0.328,10,31,1,134,489,NYY,1B,38,146,76,45,5,1,36,100,0,2,4,0.731
Wyatt Langford,694671,2349,0.241,0.431,0.337,0.344,22,25,1,118,489,TEX,OF,24,134,73,62,22,6,74,151,0,5,5,0.775
Nolan Schanuel,694384,2168,0.264,0.389,0.327,0.353,12,23,1,129,488,LAA,1B,23,132,64,53,5,1,59,71,3,4,10,0.742
Byron Buxton,621439,2052,0.264,0.551,0.367,0.327,35,21,7,129,488,MIN,OF,31,126,97,83,24,0,41,148,0,6,7,0.878
Luis García Jr.,671277,1842,0.252,0.412,0.3,0.289,16,28,1,123,488,WSH,2B,25,139,67,66,14,5,27,84,0,9,2,0.701
Marcell Ozuna,542303,2643,0.232,0.4,0.334,0.355,21,19,0,113,487,ATL,DH,35,145,61,68,0,0,94,144,0,7,3,0.755
Brooks Lee,686797,2010,0.236,0.37,0.286,0.285,16,15,1,115,487,MIN,SS,24,139,50,64,3,1,31,92,0,5,4,0.655
Jacob Wilson,805779,1739,0.311,0.444,0.348,0.355,13,26,0,151,486,ATH,SS,23,125,62,63,5,2,27,39,2,1,7,0.799
Josh Jung,673962,1931,0.251,0.39,0.298,0.294,14,23,1,121,482,TEX,3B,27,131,53,61,4,1,27,129,0,0,2,0.684
Shea Langeliers,669127,1930,0.277,0.536,0.364,0.325,31,32,0,133,481,ATH,C,28,123,73,72,7,1,36,103,0,5,1,0.861
Ketel Marte,606466,2117,0.283,0.517,0.381,0.376,28,28,0,136,480,ARI,2B,32,126,87,72,4,2,64,83,0,3,9,0.893
Andrew McCutchen,457705,2287,0.239,0.367,0.309,0.333,13,22,0,114,477,PIT,DH,39,135,51,57,1,1,67,118,0,3,2,0.7
Eric Wagaman,676572,1956,0.25,0.378,0.293,0.296,9,28,3,119,476,MIA,1B,28,140,56,53,4,1,32,100,0,5,1,0.674
Jorge Polanco,593871,2031,0.265,0.495,0.35,0.326,26,30,0,125,471,SEA,2B,32,138,64,78,6,3,42,82,3,5,3,0.821
Oneil Cruz,665833,2250,0.2,0.378,0.295,0.298,20,18,3,94,471,PIT,OF,27,135,62,61,38,5,64,174,0,5,4,0.676
Marcus Semien,543760,2076,0.23,0.364,0.295,0.305,15,16,1,108,470,TEX,2B,35,127,62,62,11,1,50,93,0,9,5,0.669
Joey Ortiz,687401,1876,0.23,0.317,0.263,0.276,7,18,1,108,470,MIL,SS,27,149,62,45,14,3,27,74,6,0,3,0.593
