player_name,player_id,total_pitches,ba,slg,woba,obp,hrs,doubles,triples,hits,abs,Team,Pos,Age,G,R,RBI,SB,CS,BB,SO,SH,SF,HBP,OPS
Wilyer Abreu,677800,1619,0.247,0.469,0.334,0.317,22,17,0,92,373,BOS,OF,26,115,53,69,6,3,40,101,1,3,0,0.786
Isaac Collins,686555,1794,0.263,0.411,0.344,0.368,9,22,3,98,372,MIL,OF,28,130,56,54,16,7,57,93,3,3,6,0.779
Nick Allen,669397,1583,0.221,0.251,0.245,0.284,0,11,0,82,371,ATL,SS,27,135,32,22,8,7,31,99,8,3,3,0.535
Jonathan Aranda,666018,1732,0.316,0.489,0.381,0.393,14,22,0,117,370,TB,1B,27,106,56,59,0,2,41,107,0,3,8,0.882
Ke'Bryan Hayes,663647,2158,0.236,0.29,0.266,0.279,2,10,2,87,369,PIT,3B,28,100,34,36,10,2,18,81,1,0,4,0.569
Carson Kelly,608348,1668,0.249,0.428,0.332,0.333,17,13,1,92,369,CHC,C,31,111,48,50,2,0,45,80,0,4,3,0.761
Mauricio Dubón,643289,1346,0.241,0.355,0.283,0.289,7,21,0,89,369,HOU,OF,31,133,43,33,3,0,24,42,3,1,1,0.644
Kyle Isbel,664728,1471,0.255,0.353,0.287,0.301,4,16,4,94,368,KC,OF,28,135,42,33,4,5,23,74,13,3,2,0.654
Edgar Quero,700337,1583,0.268,0.356,0.307,0.333,5,17,0,98,365,CWS,C,22,111,31,36,0,1,32,71,0,2,4,0.689
Spencer Horwitz,687462,1699,0.272,0.434,0.344,0.353,11,26,0,99,364,PIT,1B,28,108,55,51,0,1,44,73,0,1,2,0.787
Jordan Walker,691023,1546,0.215,0.306,0.26,0.278,6,13,1,78,363,STL,OF,23,111,40,41,10,3,29,126,0,1,3,0.584
Will Smith,669257,1931,0.296,0.497,0.389,0.404,17,20,1,107,362,LAD,C,30,110,64,61,2,3,64,89,0,5,5,0.901
Pedro Pagés,686780,1490,0.23,0.363,0.276,0.272,11,15,0,83,361,STL,C,27,112,38,45,0,0,19,107,3,3,3,0.635
Ezequiel Tovar,678662,1471,0.253,0.4,0.301,0.294,9,18,4,91,360,COL,SS,24,95,44,33,5,3,21,98,6,2,1,0.694
Bo Naylor,666310,1682,0.195,0.379,0.289,0.282,14,22,1,70,359,CLE,C,25,123,46,47,1,2,45,99,3,6,1,0.661
Jake Burger,669394,1324,0.236,0.419,0.295,0.269,16,15,1,84,356,TEX,1B,29,103,43,53,1,1,12,93,0,3,5,0.688
Nolan Jones,666134,1701,0.211,0.304,0.27,0.296,5,14,2,75,355,CLE,OF,27,136,34,34,8,3,39,113,1,3,5,0.6
Nolan Gorman,669357,1663,0.205,0.37,0.292,0.296,14,14,1,72,351,STL,2B,25,111,48,46,1,1,47,136,0,4,0,0.666
Ty France,664034,1877,0.251,0.357,0.302,0.32,6,19,0,88,350,MIN,1B,31,101,41,44,1,0,19,63,0,1,17,0.677
Ryan McMahon,641857,2504,0.217,0.403,0.306,0.314,16,15,1,76,350,COL,3B,30,100,42,35,2,1,49,127,0,1,1,0.717
Josh Naylor,647304,2034,0.292,0.447,0.351,0.36,11,19,1,102,349,ARI,1B,28,93,49,59,11,2,37,49,0,4,2,0.807
Tommy Edman,669242,1338,0.225,0.382,0.284,0.274,13,13,1,78,346,LAD,2B,30,97,49,49,3,1,19,61,1,5,6,0.656
Brayan Rocchio,677587,1411,0.233,0.34,0.278,0.29,5,18,2,80,344,CLE,SS,24,115,34,44,8,4,22,77,4,5,8,0.63
Wenceel Pérez,672761,1534,0.244,0.43,0.318,0.308,13,17,4,84,344,DET,OF,26,100,47,43,8,3,31,87,0,5,3,0.738
Victor Caratini,605170,1418,0.259,0.404,0.318,0.324,12,14,0,89,344,HOU,C,32,114,35,46,1,0,23,65,0,6,13,0.728
Jake Meyers,676694,1341,0.292,0.373,0.323,0.354,3,15,2,100,343,HOU,OF,29,104,53,24,16,5,31,67,2,2,3,0.727
Kody Clemens,665019,1533,0.216,0.442,0.307,0.284,19,12,4,74,342,MIN,1B,29,112,46,52,5,1,28,93,2,2,5,0.726
Noelvi Marte,682622,1267,0.263,0.448,0.321,0.3,14,17,2,89,339,CIN,OF,24,90,45,51,10,3,16,85,0,2,3,0.748
Ronald Acuña Jr.,660670,1758,0.29,0.518,0.403,0.417,21,12,1,98,338,ATL,OF,27,95,74,42,9,1,71,102,0,0,3,0.935
Carlos Correa,621043,2312,0.267,0.386,0.322,0.319,7,19,0,90,337,MIN,3B,31,93,40,31,0,0,26,68,0,1,0,0.705
Matt Wallner,670242,1555,0.202,0.464,0.334,0.311,22,16,3,68,336,MIN,OF,27,104,47,40,4,3,46,114,0,2,8,0.775
Rafael Devers,646240,3102,0.236,0.46,0.365,0.347,20,15,0,79,335,SF,1B,29,90,52,51,0,0,56,116,0,2,2,0.807
Mike Tauchman,643565,1594,0.263,0.4,0.335,0.356,9,17,1,88,335,CWS,OF,34,93,44,40,0,0,45,86,0,1,4,0.756
Ryan Mountcastle,663624,1355,0.25,0.367,0.284,0.286,7,18,0,83,332,BAL,1B,28,89,34,35,3,0,15,98,0,6,4,0.653
Liam Hicks,689414,1537,0.247,0.346,0.313,0.346,6,13,1,82,332,MIA,C,26,119,37,45,2,0,43,56,3,3,9,0.692
Jared Triolo,669707,1459,0.227,0.356,0.296,0.311,7,18,2,75,331,PIT,3B,27,107,41,24,13,2,39,76,3,1,2,0.667
Andrés Giménez,665926,1452,0.21,0.313,0.269,0.285,7,11,1,69,329,TOR,2B,27,101,39,35,12,2,25,66,1,3,11,0.598
Jordan Westburg,676059,1301,0.265,0.457,0.332,0.313,17,10,1,87,328,BAL,3B,26,85,59,41,1,2,17,80,0,1,6,0.77
Colton Cowser,681297,1490,0.196,0.385,0.285,0.269,16,14,0,64,327,BAL,OF,25,92,36,40,14,0,27,128,0,0,6,0.654
Jacob Young,696285,1368,0.231,0.287,0.264,0.296,2,10,1,75,324,WSH,OF,26,120,34,31,15,11,27,65,9,1,3,0.583
Adley Rutschman,668939,1491,0.22,0.366,0.298,0.307,9,16,2,71,322,BAL,C,27,90,37,29,0,0,40,57,0,2,1,0.673
Mike Yastrzemski,573262,2321,0.231,0.355,0.321,0.33,8,14,1,74,321,SF,OF,35,97,38,28,6,2,47,86,2,1,1,0.685
Daylen Lile,695734,1306,0.299,0.498,0.36,0.347,9,15,11,96,321,WSH,OF,23,91,51,41,8,6,21,56,1,3,4,0.845
Jurickson Profar,595777,1583,0.245,0.434,0.346,0.353,14,16,1,78,318,ATL,OF,32,80,56,43,9,2,48,59,0,0,5,0.787
Romy Gonzalez,663853,1243,0.305,0.483,0.352,0.343,9,23,3,96,315,BOS,2B,29,96,47,53,6,5,18,81,0,5,3,0.826
Cedric Mullins,656775,2113,0.229,0.433,0.302,0.305,15,19,0,72,314,BAL,OF,31,91,42,49,14,4,34,85,1,4,2,0.738
Max Muncy,571970,1660,0.243,0.47,0.366,0.376,19,10,2,76,313,LAD,3B,35,100,48,67,4,0,64,83,0,5,6,0.846
Javier Sanoja,691594,1221,0.243,0.396,0.294,0.287,6,22,4,76,313,MIA,OF,23,120,40,38,6,5,19,41,4,4,2,0.683
Casey Schmitt,669477,1336,0.237,0.401,0.307,0.305,12,15,0,74,312,SF,2B,26,95,34,40,0,0,27,83,1,3,5,0.706
Ryan O'Hearn,656811,2190,0.283,0.463,0.349,0.374,13,15,1,88,311,BAL,1B,32,94,45,43,3,1,42,63,0,3,5,0.837
Connor Norby,681393,1245,0.251,0.389,0.3,0.3,8,17,1,78,311,MIA,3B,25,88,42,34,8,2,18,90,0,3,5,0.689
Tyrone Taylor,621438,1251,0.223,0.319,0.264,0.279,2,18,3,69,310,NYM,OF,31,113,34,27,12,2,16,76,3,2,9,0.598
JJ Bleday,668709,1336,0.212,0.404,0.302,0.294,14,17,0,65,307,ATH,OF,28,98,48,39,1,2,36,91,0,1,0,0.698
Dane Myers,667472,1243,0.235,0.326,0.275,0.291,6,10,0,72,307,MIA,OF,29,106,29,31,18,5,23,77,0,1,2,0.617
Michael Toglia,669911,1363,0.19,0.353,0.265,0.258,11,15,1,58,306,COL,1B,27,88,22,32,3,0,28,132,0,2,1,0.611
Jose Iglesias,578428,1370,0.229,0.294,0.268,0.298,3,11,0,70,306,SD,2B,35,112,29,36,5,1,24,56,4,2,7,0.592
Jesús Sánchez,660821,1942,0.256,0.42,0.304,0.32,10,12,4,78,305,MIA,OF,28,86,40,36,9,2,29,70,0,2,1,0.74
Kyle Higashioka,543309,1280,0.241,0.403,0.301,0.291,11,14,1,73,303,TEX,C,35,94,33,47,3,1,20,72,0,2,2,0.694
Willi Castro,650489,1740,0.245,0.407,0.302,0.335,10,15,2,74,302,MIN,OF,28,86,48,27,9,3,32,84,1,0,9,0.742
Santiago Espinal,669289,1303,0.243,0.282,0.259,0.292,0,12,0,73,301,CIN,3B,31,114,25,16,2,1,21,38,3,2,1,0.574
Brooks Baldwin,681460,1252,0.24,0.407,0.302,0.29,11,15,1,72,300,CWS,OF,25,103,32,38,5,0,21,86,4,2,1,0.697
Tyler Stephenson,663886,1393,0.231,0.421,0.319,0.316,13,18,0,69,299,CIN,C,29,88,40,50,0,1,37,116,0,4,2,0.737
Trey Sweeney,700242,1191,0.196,0.291,0.245,0.258,6,6,2,58,296,DET,SS,25,118,36,32,3,1,26,92,0,4,0,0.549
Michael A. Taylor,572191,1272,0.2,0.366,0.27,0.259,9,20,1,59,295,CWS,OF,34,134,33,35,8,3,23,110,4,2,1,0.625
Starling Marte,516782,1256,0.27,0.41,0.326,0.335,9,14,0,79,293,NYM,OF,37,98,37,34,7,2,22,68,1,4,9,0.745
Dylan Crews,686611,1150,0.208,0.352,0.279,0.28,10,8,2,61,293,WSH,OF,23,85,43,27,17,5,24,76,0,0,5,0.632
Sean Murphy,669221,1362,0.199,0.409,0.309,0.3,16,13,0,58,291,ATL,C,31,94,34,45,0,0,35,105,0,3,8,0.709
Miguel Rojas,500743,1171,0.262,0.397,0.312,0.318,7,18,0,76,290,LAD,SS,36,114,35,27,5,0,24,46,3,0,0,0.715
Luis Urías,649966,1303,0.23,0.338,0.293,0.315,8,7,0,66,287,ATH,2B,28,96,27,25,2,1,31,45,0,3,6,0.653
Joey Bart,663698,1347,0.249,0.34,0.317,0.355,4,12,1,71,285,PIT,C,28,93,21,30,1,1,40,93,0,0,7,0.695
Taylor Walls,670764,1278,0.22,0.319,0.265,0.28,4,14,1,62,282,TB,SS,29,101,36,38,14,6,26,70,3,6,0,0.599
Jose Trevino,624431,1063,0.238,0.351,0.271,0.272,4,20,0,67,282,CIN,C,33,94,30,22,0,0,15,39,1,4,0,0.623
Rhys Hoskins,656555,1432,0.237,0.416,0.324,0.332,12,12,1,66,279,MIL,1B,32,90,30,43,2,1,38,91,0,6,5,0.748
Jorge Soler,624585,1291,0.215,0.387,0.298,0.293,12,12,0,60,279,LAA,OF,33,82,31,34,0,0,28,94,0,3,4,0.68
Christopher Morel,666624,1178,0.219,0.396,0.299,0.289,11,16,0,61,278,TB,OF,26,105,37,33,7,2,25,109,0,0,2,0.685
Gabriel Moreno,672515,1324,0.285,0.433,0.34,0.353,9,12,1,79,277,ARI,C,25,83,44,40,2,2,29,53,0,2,1,0.786
Kyle Farmer,571657,1101,0.227,0.365,0.282,0.28,8,14,0,63,277,COL,2B,35,97,24,31,0,1,17,66,0,2,4,0.645
Ben Williamson,810938,1216,0.253,0.31,0.269,0.294,1,13,0,70,277,SEA,3B,25,85,36,21,5,1,15,64,2,0,1,0.604
Thomas Saggese,695336,1186,0.258,0.342,0.282,0.299,2,17,0,71,275,STL,2B,23,82,25,25,3,0,16,83,1,2,1,0.641
Rafael Devers,646240,3102,0.272,0.504,0.365,0.401,15,18,0,74,272,BOS,1B,29,73,47,58,1,1,56,76,0,2,4,0.905
Harrison Bader,664056,1942,0.258,0.439,0.346,0.339,12,13,0,70,271,MIN,OF,31,96,31,38,10,4,27,81,0,2,7,0.778
Myles Straw,664702,1106,0.262,0.367,0.299,0.313,4,14,1,70,267,TOR,OF,31,137,51,32,12,1,19,50,11,1,1,0.68
Joc Pederson,592626,1237,0.181,0.328,0.276,0.285,9,10,1,48,265,TEX,DH,33,96,28,26,2,0,34,65,0,1,5,0.613
Riley Adams,656180,1160,0.186,0.308,0.25,0.252,8,8,0,49,263,WSH,C,29,83,29,24,1,0,18,110,0,0,5,0.56
Coby Mayo,691723,1133,0.217,0.388,0.303,0.299,11,12,0,57,263,BAL,1B,23,85,30,28,3,0,27,84,0,0,4,0.687
Michael Massey,686681,1013,0.244,0.313,0.254,0.268,3,9,0,64,262,KC,2B,27,77,20,20,2,1,9,43,1,4,1,0.581
Luis Torrens,620443,1070,0.226,0.345,0.278,0.284,5,14,1,59,261,NYM,C,29,93,20,29,1,0,19,56,1,0,2,0.629
Brady House,691781,969,0.234,0.322,0.248,0.252,4,11,0,61,261,WSH,3B,22,73,26,29,5,3,8,78,0,5,0,0.574
Ramón Laureano,657656,2004,0.29,0.529,0.364,0.355,15,17,0,75,259,BAL,OF,31,82,45,46,4,3,22,72,0,3,6,0.884
Abraham Toro,647351,1109,0.239,0.371,0.286,0.289,7,13,0,62,259,BOS,1B,28,77,33,27,2,1,14,42,0,5,6,0.66
Ramón Urías,602104,1512,0.248,0.388,0.292,0.3,8,12,0,64,258,BAL,3B,31,77,27,34,2,0,21,60,0,9,2,0.688
Roman Anthony,701350,1283,0.292,0.463,0.376,0.396,8,18,1,75,257,BOS,OF,21,71,48,32,4,1,40,84,0,1,5,0.859
Heriberto Hernández,681715,1138,0.266,0.438,0.341,0.347,10,12,1,68,256,MIA,OF,25,87,40,45,1,1,31,77,0,4,3,0.785
Eli White,642201,1003,0.234,0.406,0.29,0.27,10,8,3,60,256,ATL,OF,31,105,43,35,10,1,11,70,1,1,2,0.676
Keibert Ruiz,660688,889,0.247,0.318,0.262,0.277,2,12,0,63,255,WSH,C,27,68,19,25,0,2,8,26,0,1,3,0.595
Elias Díaz,553869,1056,0.204,0.337,0.269,0.27,9,7,0,52,255,SD,C,35,106,34,29,0,0,21,74,5,0,2,0.607
Colson Montgomery,695657,1088,0.239,0.529,0.355,0.311,21,9,1,61,255,CWS,SS,23,71,43,55,0,0,25,83,0,1,2,0.84
Mitch Garver,641598,1170,0.209,0.343,0.284,0.297,9,5,1,53,254,SEA,C,34,87,29,30,3,0,30,80,0,3,3,0.64
Kyle Teel,691019,1225,0.273,0.411,0.349,0.375,8,11,0,69,253,CWS,C,23,78,38,35,3,1,37,77,1,1,5,0.786
Henry Davis,680779,1070,0.167,0.278,0.229,0.234,7,7,0,42,252,PIT,C,26,87,25,22,2,1,18,76,3,3,5,0.512
Giancarlo Stanton,519317,1222,0.273,0.594,0.395,0.35,24,8,0,68,249,NYY,OF,36,77,36,66,0,0,29,96,0,1,1,0.944
Yoán Moncada,660162,1134,0.234,0.448,0.339,0.336,12,13,2,58,248,LAA,3B,30,84,39,35,0,0,32,75,0,2,7,0.784
Daulton Varsho,662139,990,0.238,0.548,0.345,0.284,20,13,2,59,248,TOR,OF,29,71,43,55,2,0,17,77,0,5,1,0.832
Francisco Alvarez,682626,1124,0.256,0.447,0.343,0.339,11,12,1,63,246,NYM,C,24,76,32,32,0,0,27,73,0,0,4,0.786
Pavin Smith,656976,1259,0.258,0.434,0.348,0.362,8,17,1,63,244,ARI,1B,29,87,36,28,2,2,41,92,0,2,0,0.796
Edmundo Sosa,624641,943,0.276,0.469,0.332,0.307,11,12,1,67,243,PHI,3B,29,89,30,39,1,1,10,56,3,2,2,0.776
Dominic Canzone,686527,1028,0.3,0.481,0.361,0.358,11,11,0,73,243,SEA,OF,28,82,30,32,3,1,20,59,0,2,3,0.839
José Caballero,676609,1507,0.226,0.311,0.309,0.327,2,12,1,53,235,TB,SS,29,86,37,27,34,8,33,80,3,1,3,0.638
Adam Frazier,624428,1849,0.255,0.336,0.3,0.318,3,10,0,60,235,PIT,2B,33,78,22,21,7,5,17,45,1,3,6,0.654
Enrique Hernández,571771,1033,0.203,0.366,0.268,0.255,10,8,0,47,232,LAD,3B,34,93,30,35,0,0,18,68,1,5,0,0.621
Will Benson,666181,926,0.226,0.435,0.298,0.273,12,8,2,52,230,CIN,OF,27,90,31,41,2,2,16,67,0,6,1,0.708
Blaze Alexander,677942,1044,0.23,0.383,0.313,0.323,7,12,1,53,230,ARI,3B,26,74,31,28,4,6,22,86,3,1,10,0.706
Kristian Campbell,692225,1070,0.223,0.345,0.299,0.319,6,10,0,51,229,BOS,2B,23,67,24,21,2,1,29,72,0,1,4,0.664
Cole Young,702284,1039,0.211,0.305,0.274,0.302,4,7,1,47,223,SEA,2B,22,77,24,24,1,0,28,47,2,2,2,0.607
Danny Jansen,643376,1354,0.204,0.389,0.318,0.314,11,8,0,45,221,TB,C,30,73,28,29,0,0,33,68,1,1,3,0.703
Andrew Vaughn,683734,1722,0.308,0.493,0.311,0.375,9,14,0,68,221,MIL,1B,27,64,26,46,0,0,24,37,1,5,3,0.868
Miguel Andujar,609280,1220,0.298,0.436,0.354,0.329,6,10,1,65,218,ATH,OF,30,60,22,27,1,0,11,30,0,2,0,0.765
Dylan Carlson,666185,1021,0.203,0.336,0.273,0.278,6,9,1,44,217,BAL,OF,27,83,17,20,3,3,21,54,0,1,2,0.614
Tyler Fitzgerald,666149,926,0.217,0.327,0.269,0.278,4,10,1,47,217,SF,2B,28,72,19,14,9,4,17,70,6,1,2,0.605
Alexander Canario,672744,897,0.218,0.338,0.27,0.274,6,6,1,47,216,PIT,OF,25,87,25,20,3,1,17,80,0,1,0,0.612
Travis d'Arnaud,518595,873,0.197,0.343,0.263,0.255,6,13,0,42,213,LAA,C,36,69,16,21,0,0,13,74,0,1,4,0.598
Jac Caglianone,695506,858,0.157,0.295,0.239,0.237,7,6,1,33,210,KC,OF,22,62,19,18,1,0,18,52,0,0,4,0.532
Jakob Marsee,805300,881,0.292,0.478,0.363,0.363,5,18,3,61,209,MIA,OF,24,55,28,33,14,6,22,48,0,1,2,0.841
Max Muncy,571970,1660,0.214,0.379,0.366,0.259,9,7,0,44,206,ATH,3B,23,63,17,23,1,1,10,68,0,1,3,0.638
Drew Waters,671221,795,0.243,0.316,0.268,0.288,1,6,3,50,206,KC,OF,26,71,21,14,5,3,11,60,0,0,2,0.604
Jake McCarthy,664983,846,0.204,0.345,0.256,0.247,4,7,5,42,206,ARI,OF,28,67,18,20,6,0,10,40,3,1,2,0.592
Ezequiel Duran,677649,808,0.224,0.293,0.249,0.266,0,14,0,46,205,TEX,1B,26,90,16,14,11,2,8,55,1,1,4,0.559
Dominic Smith,642086,851,0.284,0.417,0.325,0.333,5,12,0,58,204,SF,1B,30,63,26,33,2,0,15,42,0,4,2,0.75
Eugenio Suárez,553993,2619,0.189,0.428,0.347,0.255,13,9,0,38,201,SEA,3B,34,53,27,31,3,1,17,79,0,1,1,0.683
Carlos Correa,621043,2312,0.29,0.43,0.322,0.355,6,10,0,58,200,HOU,3B,31,51,23,21,0,0,19,45,0,0,1,0.785
Tim Tawa,694374,876,0.201,0.347,0.273,0.274,7,8,0,40,199,ARI,2B,26,74,29,18,8,2,20,64,2,3,1,0.621
Otto Kemp,805249,819,0.234,0.411,0.308,0.298,8,11,0,46,197,PHI,3B,26,62,26,28,2,2,12,67,0,2,7,0.709
Alex Verdugo,657077,881,0.239,0.289,0.264,0.296,0,10,0,47,197,ATL,OF,29,56,21,12,1,0,14,31,0,0,2,0.585
Alex Call,669743,1315,0.274,0.386,0.331,0.371,3,9,2,54,197,WSH,OF,31,72,30,26,1,1,26,36,5,3,6,0.757
Robert Hassell III,690987,764,0.223,0.315,0.252,0.257,3,9,0,44,197,WSH,OF,24,70,22,18,4,0,8,62,0,0,1,0.572
Kameron Misner,670224,917,0.213,0.345,0.272,0.273,5,9,1,42,197,TB,OF,27,71,27,22,8,1,16,69,1,2,1,0.618
Evan Carter,694497,826,0.247,0.392,0.321,0.336,5,9,2,48,194,TEX,OF,23,63,31,25,14,2,19,41,0,0,7,0.728
Josh Naylor,647304,2034,0.299,0.49,0.351,0.341,9,10,0,58,194,SEA,1B,28,54,32,33,19,0,11,34,0,1,2,0.831
Anthony Santander,623993,938,0.175,0.294,0.255,0.271,6,5,0,34,194,TOR,OF,31,54,16,18,0,0,25,61,0,1,1,0.565
Paul DeJong,657557,817,0.228,0.373,0.278,0.269,6,10,0,44,193,WSH,3B,32,57,18,23,4,0,11,70,0,3,1,0.642
Dylan Moore,664238,1012,0.193,0.359,0.28,0.263,9,5,0,37,192,SEA,2B,33,88,29,19,12,4,19,76,0,2,0,0.622
Freddy Fermin,666023,1377,0.255,0.339,0.28,0.309,3,7,0,49,192,KC,C,30,67,17,12,1,2,13,37,1,0,2,0.648
Parker Meadows,678009,859,0.215,0.33,0.277,0.291,4,6,2,41,191,DET,OF,26,58,22,16,4,0,21,56,0,1,0,0.621
Christian Vázquez,543877,834,0.189,0.274,0.248,0.271,3,7,0,36,190,MIN,C,35,65,14,14,1,1,18,35,0,2,4,0.545
Josh Rojas,668942,798,0.18,0.259,0.232,0.252,2,9,0,34,189,CWS,3B,31,69,14,11,4,1,19,48,1,2,0,0.511
Davis Schneider,676914,1012,0.234,0.436,0.351,0.361,11,5,0,44,188,TOR,OF,26,82,33,31,3,1,36,60,0,1,2,0.797
Nacho Alvarez Jr.,805373,819,0.234,0.33,0.279,0.296,2,12,0,44,188,ATL,3B,22,58,18,15,0,0,12,49,2,1,5,0.626
Masataka Yoshida,807799,715,0.266,0.388,0.302,0.307,4,11,0,50,188,BOS,DH,32,55,16,26,3,0,10,24,0,4,3,0.695
Ryan Ritter,690022,773,0.241,0.337,0.28,0.296,1,9,3,45,187,COL,SS,25,60,22,18,3,1,10,61,4,1,5,0.633
Andrew Vaughn,683734,1722,0.189,0.314,0.311,0.218,5,8,0,35,185,CWS,1B,27,48,9,19,0,0,7,43,0,1,0,0.532
Adam Frazier,624428,1849,0.283,0.402,0.3,0.32,4,10,0,52,184,KC,2B,33,56,21,23,1,1,9,36,0,2,2,0.722
Jake Bauers,641343,901,0.235,0.399,0.333,0.353,7,9,0,43,183,MIL,1B,30,86,28,28,8,1,32,59,0,1,2,0.752
Luke Raley,670042,831,0.202,0.311,0.291,0.319,4,8,0,37,183,SEA,OF,31,73,23,19,2,1,19,64,3,1,13,0.63
Max Schuemann,680474,838,0.197,0.273,0.262,0.295,2,4,2,36,183,ATH,2B,28,101,20,13,7,1,22,35,3,1,4,0.568
Luke Keaschall,807712,775,0.302,0.445,0.363,0.382,4,14,0,55,182,MIN,2B,23,49,25,28,14,3,19,29,0,1,5,0.827
Edouard Julien,666397,876,0.22,0.324,0.286,0.309,3,10,0,40,182,MIN,2B,26,64,13,12,0,3,22,61,1,1,2,0.633
Rob Refsnyder,608701,892,0.269,0.484,0.359,0.354,9,12,0,49,182,BOS,OF,34,70,29,30,3,0,24,54,0,2,1,0.838
Ramón Laureano,657656,2004,0.269,0.489,0.364,0.323,9,9,2,49,182,SD,OF,31,50,27,30,3,1,13,47,0,1,2,0.812
Tyler O'Neill,641933,827,0.199,0.392,0.297,0.292,9,6,1,36,181,BAL,OF,30,54,22,26,4,0,22,51,0,3,3,0.684
Gio Urshela,570482,717,0.238,0.326,0.271,0.287,0,14,1,43,181,ATH,3B,34,59,10,20,0,1,13,40,2,1,0,0.613
Harrison Bader,664056,1942,0.305,0.463,0.346,0.361,5,11,1,54,177,PHI,OF,31,50,30,16,1,3,12,55,0,1,4,0.824
David Hamilton,666152,744,0.198,0.333,0.26,0.257,6,4,1,35,177,BOS,2B,28,91,27,19,22,6,13,47,3,0,1,0.59
Andy Ibáñez,628451,716,0.239,0.352,0.289,0.301,4,8,0,42,176,DET,3B,32,91,24,21,4,1,12,26,0,1,4,0.653
Randal Grichuk,545341,1081,0.24,0.457,0.289,0.277,7,15,1,42,175,ARI,OF,34,70,25,22,0,1,10,39,0,3,0,0.734
Luisangel Acuña,682668,688,0.234,0.274,0.258,0.293,0,7,0,41,175,NYM,2B,23,95,30,8,16,1,13,37,2,1,2,0.567
Christian Koss,683766,644,0.264,0.368,0.297,0.309,3,9,0,46,174,SF,SS,27,76,25,23,4,1,9,45,3,2,3,0.677
Darell Hernaiz,687231,712,0.231,0.306,0.266,0.292,2,5,1,40,173,ATH,3B,24,51,17,16,3,4,17,24,2,5,0,0.598
Rowdy Tellez,642133,1288,0.208,0.434,0.307,0.249,11,6,0,36,173,SEA,1B,30,62,20,27,1,0,8,49,0,2,2,0.683
Orlando Arcia,606115,784,0.203,0.302,0.233,0.242,3,6,1,35,172,COL,SS,31,62,12,12,0,1,9,39,0,1,0,0.544
Luis Matos,682641,688,0.221,0.424,0.296,0.266,8,9,1,38,172,SF,OF,23,57,26,22,4,0,11,27,0,1,0,0.69
Jeremiah Jackson,669236,707,0.276,0.447,0.336,0.328,5,10,2,47,170,BAL,OF,25,48,20,21,0,2,11,50,0,0,2,0.775
Justin Turner,457759,801,0.219,0.314,0.268,0.288,3,7,0,37,169,CHC,1B,41,80,14,18,2,0,17,37,0,4,1,0.602
Ronny Mauricio,677595,697,0.226,0.369,0.29,0.293,6,6,0,38,168,NYM,3B,24,61,19,10,4,0,15,54,0,0,1,0.662
Nick Loftin,679845,676,0.208,0.357,0.279,0.278,4,9,2,35,168,KC,OF,27,67,17,20,1,1,14,27,1,2,3,0.635
Connor Wong,657136,745,0.19,0.238,0.23,0.262,0,8,0,32,168,BOS,C,29,63,16,7,2,1,16,42,1,2,1,0.5
Jake Fraley,641584,839,0.232,0.387,0.316,0.332,6,8,0,39,168,CIN,OF,30,67,29,23,4,2,24,41,0,0,1,0.719
Jose Herrera,645444,854,0.187,0.259,0.251,0.285,2,6,0,31,166,ARI,C,28,58,21,17,0,0,23,47,11,3,1,0.544
Yordan Alvarez,670541,824,0.273,0.43,0.338,0.367,6,8,0,45,165,HOU,DH,28,48,17,27,1,1,28,33,0,6,0,0.797
Ryan O'Hearn,656811,2190,0.276,0.387,0.349,0.35,4,6,0,45,163,SD,1B,32,50,22,20,0,0,16,46,0,1,3,0.737
Donovan Solano,456781,704,0.252,0.344,0.277,0.295,3,4,1,41,163,SEA,1B,37,69,10,21,0,0,8,38,0,2,3,0.639
Sam Haggerty,664059,646,0.253,0.37,0.307,0.328,2,7,3,41,162,TEX,OF,31,64,31,13,12,4,16,37,1,0,2,0.698
Christian Moore,695681,779,0.198,0.37,0.288,0.284,7,5,1,32,162,LAA,2B,23,53,20,16,3,0,19,62,1,1,1,0.654
Hyeseong Kim,808975,660,0.28,0.385,0.306,0.314,3,6,1,45,161,LAD,2B,26,71,19,17,13,1,7,52,1,0,1,0.699
Graham Pauley,688363,681,0.224,0.366,0.3,0.311,4,9,1,36,161,MIA,3B,25,62,18,11,2,0,21,36,1,1,0,0.677
Yohel Pozo,650968,591,0.231,0.375,0.275,0.262,5,8,0,37,160,STL,C,28,67,16,19,0,0,7,22,0,1,0,0.637
Ryan McMahon,641857,2504,0.208,0.333,0.306,0.308,4,8,0,33,159,NYY,3B,30,54,20,18,1,0,21,62,0,2,3,0.641
Ke'Bryan Hayes,663647,2158,0.234,0.342,0.266,0.315,3,6,1,37,158,CIN,3B,28,52,16,13,2,1,18,30,0,1,1,0.657
Oswald Peraza,672724,1005,0.152,0.241,0.214,0.212,3,5,0,24,158,NYY,3B,25,71,18,13,3,0,11,47,0,0,1,0.453
Austin Martin,668885,749,0.282,0.365,0.333,0.374,1,8,1,44,156,MIN,OF,26,50,22,7,11,4,22,31,2,0,1,0.739
Heston Kjerstad,677008,622,0.192,0.327,0.248,0.24,4,5,2,30,156,BAL,OF,26,54,16,19,1,0,6,45,0,1,4,0.567
